Service Sectors,Age Group,Year,No. of employed,Gender
Financial & Insurance Services,55 - 59,2008,2.0,Female
Real Estate Services,55 - 59,2008,1.3,Female
Wholesale & Retail Trade,60 - 64,2008,4.4,Female
Professional And Administrative & Support,60 - 64,2008,8.3,Female
Transportation & Storage,60 - 64,2008,1.4,Female
Accommodation & Food Services,60 - 64,2008,5.0,Female
Information & Communications,60 - 64,2008,0.2,Female
Financial & Insurance Services,60 - 64,2008,0.6,Female
Real Estate Services,60 - 64,2008,0.7,Female
Wholesale & Retail Trade,65 or over,2008,2.2,Female
Professional And Administrative & Support,65 or over,2008,4.7,Female
Transportation & Storage,65 or over,2008,0.3,Female
Accommodation & Food Services,65 or over,2008,3.7,Female
Information & Communications,65 or over,2008,0.1,Female
Financial & Insurance Services,65 or over,2008,0.4,Female
Real Estate Services,65 or over,2008,0.3,Female
Wholesale & Retail Trade,15 - 19,2007,4.3,Female
Professional And Administrative & Support,15 - 19,2007,6.8,Female
Transportation & Storage,15 - 19,2007,0.6,Female
Accommodation & Food Services,15 - 19,2007,2.6,Female
Information & Communications,15 - 19,2007,0.6,Female
Financial & Insurance Services,15 - 19,2007,0.5,Female
Wholesale & Retail Trade,20 - 24,2007,9.9,Female
Transportation & Storage,20 - 24,2007,4.1,Female
Professional And Administrative & Support,20 - 24,2007,14.0,Female
Accommodation & Food Services,20 - 24,2007,4.0,Female
Information & Communications,20 - 24,2007,3.7,Female
Financial & Insurance Services,20 - 24,2007,6.3,Female
Real Estate Services,20 - 24,2007,1.0,Female
Wholesale & Retail Trade,25 - 29,2007,14.1,Female
Transportation & Storage,25 - 29,2007,6.6,Female
Professional And Administrative & Support,25 - 29,2007,20.7,Female
Accommodation & Food Services,25 - 29,2007,3.9,Female
Information & Communications,25 - 29,2007,7.5,Female
Financial & Insurance Services,25 - 29,2007,10.8,Female
Real Estate Services,25 - 29,2007,2.2,Female
Wholesale & Retail Trade,30 - 34,2007,17.2,Female
Transportation & Storage,30 - 34,2007,6.2,Female
Professional And Administrative & Support,30 - 34,2007,23.4,Female
Accommodation & Food Services,30 - 34,2007,4.0,Female
Information & Communications,30 - 34,2007,7.6,Female
Financial & Insurance Services,30 - 34,2007,11.8,Female
Real Estate Services,30 - 34,2007,2.7,Female
Wholesale & Retail Trade,35 - 39,2007,16.3,Female
Transportation & Storage,35 - 39,2007,5.1,Female
Professional And Administrative & Support,35 - 39,2007,21.4,Female
Accommodation & Food Services,35 - 39,2007,4.7,Female
Information & Communications,35 - 39,2007,5.3,Female
Financial & Insurance Services,35 - 39,2007,11.1,Female
Real Estate Services,35 - 39,2007,2.9,Female
Wholesale & Retail Trade,40 - 44,2007,19.5,Female
Transportation & Storage,40 - 44,2007,5.6,Female
Professional And Administrative & Support,40 - 44,2007,25.1,Female
Accommodation & Food Services,40 - 44,2007,7.7,Female
Information & Communications,40 - 44,2007,4.2,Female
Financial & Insurance Services,40 - 44,2007,9.2,Female
Real Estate Services,40 - 44,2007,2.2,Female
Wholesale & Retail Trade,45 - 49,2007,19.0,Female
Transportation & Storage,45 - 49,2007,4.8,Female
Professional And Administrative & Support,45 - 49,2007,23.8,Female
Accommodation & Food Services,45 - 49,2007,10.4,Female
Information & Communications,45 - 49,2007,3.9,Female
Financial & Insurance Services,45 - 49,2007,7.0,Female
Real Estate Services,45 - 49,2007,2.6,Female
Wholesale & Retail Trade,50 - 54,2007,15.2,Female
Transportation & Storage,50 - 54,2007,4.3,Female
Professional And Administrative & Support,50 - 54,2007,19.5,Female
Accommodation & Food Services,50 - 54,2007,10.6,Female
Information & Communications,50 - 54,2007,1.6,Female
Financial & Insurance Services,50 - 54,2007,3.6,Female
Real Estate Services,50 - 54,2007,2.5,Female
Wholesale & Retail Trade,55 - 59,2007,8.3,Female
Transportation & Storage,55 - 59,2007,1.8,Female
Professional And Administrative & Support,55 - 59,2007,10.100000000000001,Female
Accommodation & Food Services,55 - 59,2007,8.1,Female
Information & Communications,55 - 59,2007,0.9,Female
Financial & Insurance Services,55 - 59,2007,1.9,Female
Real Estate Services,55 - 59,2007,1.1,Female
Wholesale & Retail Trade,60 - 64,2007,3.3,Female
Transportation & Storage,60 - 64,2007,0.8,Female
Professional And Administrative & Support,60 - 64,2007,4.1,Female
Accommodation & Food Services,60 - 64,2007,4.0,Female
Information & Communications,60 - 64,2007,0.1,Female
Financial & Insurance Services,60 - 64,2007,0.6,Female
Real Estate Services,60 - 64,2007,0.3,Female
Wholesale & Retail Trade,65 or over,2007,2.8,Female
Transportation & Storage,65 or over,2007,0.5,Female
Professional And Administrative & Support,65 or over,2007,3.3,Female
Accommodation & Food Services,65 or over,2007,3.5,Female
Information & Communications,65 or over,2007,0.1,Female
Financial & Insurance Services,65 or over,2007,0.3,Female
Real Estate Services,65 or over,2007,0.4,Female
